"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			13
"Total"	"Rensselaer County, NY"	"36083"	"Asian"	"A"					13
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	14
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	13
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			43
"Total"	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"					47
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			12
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	21
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	38
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	40
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	14
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			125
"Total"	"Rensselaer County, NY"	"36083"	"White"	"2106-3"					137
"Total"	"Rensselaer County, NY"	"36083"							197
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	28
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	33
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	15
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			86
"Total"	"Richmond County, NY"	"36085"	"Asian"	"A"					89
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	11
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			32
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	10
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	26
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	41
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	27
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	22
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			131
"Total"	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"					163
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	23
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	38
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	32
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	13
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			116
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	22
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	62
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	104
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	61
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	15
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			270
"Total"	"Richmond County, NY"	"36085"	"White"	"2106-3"					386
"Total"	"Richmond County, NY"	"36085"							638
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	11
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	11
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	11
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			36
"Total"	"Rockland County, NY"	"36087"	"Asian"	"A"					39
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			13
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	19
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	17
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	21
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			70
"Total"	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"					83
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	11
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	18
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	22
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	29
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	17
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			101
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	99
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	74
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	90
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	43
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	20
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			336
"Total"	"Rockland County, NY"	"36087"	"White"	"2106-3"					437
"Total"	"Rockland County, NY"	"36087"							559
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
